	text_a	text_b	label
6507	He was started on a labetalol gtt for BP control.	 Patient has hypertension	entailment
6508	He was started on a labetalol gtt for BP control.	 Patient has normal vital signs	contradiction
6509	He was started on a labetalol gtt for BP control.	 Patient has tachycardia	neutral
6511	H/O Heavy ETOH Use and DTs 7.	 No side effects from alcohol abuse	contradiction
6512	H/O Heavy ETOH Use and DTs 7.	 History of cirrhosis	neutral
6513	The patient's birth weight was 4145 g which made him greater than 90 percentile.	 The patient is large for gestational age. 	entailment
6516	Also febrile to 101.	 patient is febrile	entailment
6517	Also febrile to 101.	 patient is afebrile	contradiction
6518	Also febrile to 101.	 patient is septic	neutral
6519	He was intubated in the cath lab.	 the patient was intubated	entailment
6520	He was intubated in the cath lab.	 the patient is on room air	contradiction
6522	Oxygen sat prior to intubation noted to be 60-98%; fingerstick blood sugar 106.	 Patient is in need of intubation	entailment
6523	Oxygen sat prior to intubation noted to be 60-98%; fingerstick blood sugar 106.	 Patient has normal O2 saturations	contradiction
6525	History of prostatitis.	 The patient has had an inflamed prostate. 	entailment
6526	History of prostatitis.	 The patient has a normal prostate. 	contradiction
6527	History of prostatitis.	 The patient has benign prostatic hypertrophy. 	neutral
6528	There is no free fluid or lymphadenopathy within the pelvis.	 Pelvic lymph nodes appear normal in size 	entailment
6530	There is no free fluid or lymphadenopathy within the pelvis.	 Imaging of the pelvis is unremarkable 	neutral
6532	He was transfered to the ICU for further care. .	 He was discharged home	contradiction
6535	He was feeling nauseated and began vomiting and continued to have hematemesis for three days until he was transferred to [**Hospital1 68**] for definitive care.	 Patient has negative ROS	contradiction
6536	He was feeling nauseated and began vomiting and continued to have hematemesis for three days until he was transferred to [**Hospital1 68**] for definitive care.	 Patient has nausea	neutral
6537	Progression of labor prompted C-section due to fetal positioning.	 Patient has an an abnormal fetal position	entailment
6538	Progression of labor prompted C-section due to fetal positioning.	 Patient has a vaginal delivery planned	contradiction
6540	Irritable bowel syndrome.	 diarrhea 	entailment
6541	Irritable bowel syndrome.	 Normal gastrointestinal function	contradiction
6542	Irritable bowel syndrome.	 History of anxiety	neutral
6543	Given that he had recently been admitted to [**Hospital1 22**] for similar symptoms, the rehab staff was concerned that he had again experience a syncopal episode, and sent him to [**Hospital1 **] ED for further evaluation.	 The patient had syncope.	entailment
6544	Given that he had recently been admitted to [**Hospital1 22**] for similar symptoms, the rehab staff was concerned that he had again experience a syncopal episode, and sent him to [**Hospital1 **] ED for further evaluation.	 The patient was at home prior to the event.	contradiction
6545	Given that he had recently been admitted to [**Hospital1 22**] for similar symptoms, the rehab staff was concerned that he had again experience a syncopal episode, and sent him to [**Hospital1 **] ED for further evaluation.	 The patient had head trauma.	neutral
6546	Left hip osteoporosis.	 History of bone disease	entailment
6547	Left hip osteoporosis.	 No history of bone disease	contradiction
6548	Left hip osteoporosis.	 History of vitamin D deficiency	neutral
6550	The patient was seen in the office by Dr. [**Last Name (STitle) **] and admitted for IV hydration prior to angiogram.	 Patient has no cause for intervention	contradiction
6551	The patient was seen in the office by Dr. [**Last Name (STitle) **] and admitted for IV hydration prior to angiogram.	 Patient has CAD	neutral
6552	Initial Tylenol level at [**Hospital3 **] 353, repeat @ [**Hospital1 22**] 4hours later found to be 219.	 The patient has a tylenol overdose. 	entailment
6553	Initial Tylenol level at [**Hospital3 **] 353, repeat @ [**Hospital1 22**] 4hours later found to be 219.	 The patient has not had any tylenol. 	contradiction
6554	Initial Tylenol level at [**Hospital3 **] 353, repeat @ [**Hospital1 22**] 4hours later found to be 219.	 The patient is suicidal. 	neutral
6555	[**Known patient lastname **] is a 63-year-old gentleman who developed weakness, diaphoresis, slurred speech, and nausea, as well as headache and came to the Emergency Room and was found to have a large cerebellar bleed and dilatation of ventricles.	 The patient has intracranial hemorrhage.	entailment
6560	A large amt of clots were seen in the stomach without other etiology.	 The patient complains of abdominal pain and vomiting 	neutral
6561	In the ED she initially triggered for hypoxia of 82% on RA in triage, but on recheck was 100% on RA.	 The patient had a time of low oxygen saturation. 	entailment
6562	In the ED she initially triggered for hypoxia of 82% on RA in triage, but on recheck was 100% on RA.	 The patient requires a nonrebreather oxygen mask. 	contradiction
6565	PMH: Hypertension, Hypercholesterolemia, Diabetes, Endometrial Cancer (recently diagnosed), GI Bleed (5 yrs ago), Rheumatoid Arthritis, Strep throat with abscess, s/p bunion surgery, s/p repair of deviated septum, s/p removal of sebaceous cysts	 The patient has normal blood sugars. 	contradiction
6566	PMH: Hypertension, Hypercholesterolemia, Diabetes, Endometrial Cancer (recently diagnosed), GI Bleed (5 yrs ago), Rheumatoid Arthritis, Strep throat with abscess, s/p bunion surgery, s/p repair of deviated septum, s/p removal of sebaceous cysts	 The patient takes immunosuppressive medication. 	neutral
6567	She was treated with vanc, zosyn, and flagyl.	 The patient is on broad spectrum antibiotics. 	entailment
6568	She was treated with vanc, zosyn, and flagyl.	 The patient is not on antibiotic treatment. 	contradiction
6570	He was born to a 24- year-old gravida III, para 0, now I mother by spontaneous vaginal delivery with Apgar scores of 6 at 1 minute and 8 at 5 minutes.	 His Apgar score was low at 1 minute	entailment
6572	He was born to a 24- year-old gravida III, para 0, now I mother by spontaneous vaginal delivery with Apgar scores of 6 at 1 minute and 8 at 5 minutes.	 He had no response to stimulation at 1 minute	neutral
6573	A restaging CT was performed on [**2704-6-27**] and uncovered a PE in a small branch of the LLL pulmonary artery.	 the patient has a small PE	entailment
6574	A restaging CT was performed on [**2704-6-27**] and uncovered a PE in a small branch of the LLL pulmonary artery.	 the patient has a normal chest CT	contradiction
6577	Retinal bleed of the left eye - The patient is followed at [**Location (un) 100**] Ophthalmologic.	 The patient has no eye problems. 	contradiction
6578	Retinal bleed of the left eye - The patient is followed at [**Location (un) 100**] Ophthalmologic.	 The patient is hypertensive. 	neutral
6579	HISTORY OF PRESENT ILLNESS:  This is an 82 year-old male patient with a one year history of presyncope with recent increase in symptoms three to four weeks prior to admission.	 the patient has worsening presyncope	entailment
6580	HISTORY OF PRESENT ILLNESS:  This is an 82 year-old male patient with a one year history of presyncope with recent increase in symptoms three to four weeks prior to admission.	 the patient has improving symptoms	contradiction
6581	HISTORY OF PRESENT ILLNESS:  This is an 82 year-old male patient with a one year history of presyncope with recent increase in symptoms three to four weeks prior to admission.	 the patient is on multiple medications	neutral
6582	Upon the patient's arrival to the [**Last Name (LF) **], [**First Name3 (LF) **] surgery was consulted for evaluation of the mediastinal abscess.	 the patient has a mediastinal abscess	entailment
6583	Upon the patient's arrival to the [**Last Name (LF) **], [**First Name3 (LF) **] surgery was consulted for evaluation of the mediastinal abscess.	 the patient has no infection	contradiction
6584	Upon the patient's arrival to the [**Last Name (LF) **], [**First Name3 (LF) **] surgery was consulted for evaluation of the mediastinal abscess.	 the patient is post cabg	neutral
6586	PHYSICAL EXAM UPON ADMISSION TO THE NEONATAL INTENSIVE CARE UNIT:  Weight 1.465 kg, length 42 cm, head circumference 27.5 cm. 	 The patient has normal birth weight.	contradiction
6587	PHYSICAL EXAM UPON ADMISSION TO THE NEONATAL INTENSIVE CARE UNIT:  Weight 1.465 kg, length 42 cm, head circumference 27.5 cm. 	 The patient is premature. 	neutral
6588	Her most recent scopes were last [**Month (only) 541**], when 2 angioectasias in the stomach, one in the jejunum, one in the descending colon were found. -Poorly controlled DMII -hypertension -asthma -anemia - profound iron deficiency [**2-24**] gastric and duodenal AV malformations as above, transfusion dependent, Hct baseline around 22-29 -depression -migraines -obesity -chronic abdominal pain -delayed gastric emptying -diverticulosis -extensive DVT [**3-2**] s/p thrombectomy, IVC filter placement, common and external iliac vein stenting on coumadin/plavix -OSA, on home BiPAP vs CPAP -?	 the patient has extensive past medical history	entailment
6589	Her most recent scopes were last [**Month (only) 541**], when 2 angioectasias in the stomach, one in the jejunum, one in the descending colon were found. -Poorly controlled DMII -hypertension -asthma -anemia - profound iron deficiency [**2-24**] gastric and duodenal AV malformations as above, transfusion dependent, Hct baseline around 22-29 -depression -migraines -obesity -chronic abdominal pain -delayed gastric emptying -diverticulosis -extensive DVT [**3-2**] s/p thrombectomy, IVC filter placement, common and external iliac vein stenting on coumadin/plavix -OSA, on home BiPAP vs CPAP -?	 the patient has no medical history	contradiction
6590	Her most recent scopes were last [**Month (only) 541**], when 2 angioectasias in the stomach, one in the jejunum, one in the descending colon were found. -Poorly controlled DMII -hypertension -asthma -anemia - profound iron deficiency [**2-24**] gastric and duodenal AV malformations as above, transfusion dependent, Hct baseline around 22-29 -depression -migraines -obesity -chronic abdominal pain -delayed gastric emptying -diverticulosis -extensive DVT [**3-2**] s/p thrombectomy, IVC filter placement, common and external iliac vein stenting on coumadin/plavix -OSA, on home BiPAP vs CPAP -?	 the patient is obese	neutral
6591	The patient stated that he had approximately 3-4 episodes of PND over the 2 nights prior to admission.	 The patient has had shortness of breath	entailment
6592	The patient stated that he had approximately 3-4 episodes of PND over the 2 nights prior to admission.	 The patient has had no shortness of breath	contradiction
6593	The patient stated that he had approximately 3-4 episodes of PND over the 2 nights prior to admission.	 The patient has a history of CHF	neutral
6594	Hyperparathyroidism status post parathyroidectomy.	 Patient has no parathyroid gland in situ.	entailment
6595	Hyperparathyroidism status post parathyroidectomy.	 Patient has not had surgery	contradiction
6598	The patient was also Clostridium difficile positive on the day of transfer to [**Hospital 118**] Rehabilitation Hospital.	 The patient had no evidence of infection	contradiction
6601	Presently, feels well, denies focal numbness/weakness/visual changes, denies claudication, edema, orthopnea, PND, CP.	 the patient complains of chest pain	contradiction
6604	A chest x-ray showed increased pleural effusion.	 Patient has normal CXR	contradiction
6605	A chest x-ray showed increased pleural effusion.	 Patient has cancer	neutral
6606	Post cath the patient felt nauseous, lightheaded, was found to have SBP in 70's.	 Patient has post-procedure complications	entailment
6608	Post cath the patient felt nauseous, lightheaded, was found to have SBP in 70's.	 Patient has hemorrhage	neutral
6609	Unknown GBS status.	 the patient is a woman	entailment
6610	Unknown GBS status.	 the patient has known group B strep 	contradiction
6611	Unknown GBS status.	 the patient is pregnant	neutral
6612	Currently mother has a restraining order against him.	 The patient is not to make contact with his mother. 	entailment
6613	Currently mother has a restraining order against him.	 The patient is has no legal issues. 	contradiction
6614	Currently mother has a restraining order against him.	 The patient is a physical danger to the mother. 	neutral
6615	R 18 guage was placed, LIJ was attempted x3 without success due to inability to pass the wire.	 The procedure was unsuccessful	entailment
6616	R 18 guage was placed, LIJ was attempted x3 without success due to inability to pass the wire.	 The procedure was successful	contradiction
6617	R 18 guage was placed, LIJ was attempted x3 without success due to inability to pass the wire.	 The patient is in intensive care	neutral
6618	Type 2 DM on insulin, w/severe neuropathy (?autonomic) 6. gastritis 7. s/p ccy 8.	 Patient has diabetes	entailment
6619	Type 2 DM on insulin, w/severe neuropathy (?autonomic) 6. gastritis 7. s/p ccy 8.	 Patient has no chronic disease	contradiction
6621	It is unknown how much of this is baseline or if any is new.	 History of present illness is unclear	entailment
6626	She had no focal motor disturbances, no headache or gaze disturbances.	 the patient has altered mental status 	neutral
6627	Per his son at his nursing home the last few days he has had copious diarrhea that more recently has had blood in it, vomitting, and has been sweating profusely at night without fevers or obvious rigors.	 The patient has symptoms of a c. diff infection. 	entailment
6629	Per his son at his nursing home the last few days he has had copious diarrhea that more recently has had blood in it, vomitting, and has been sweating profusely at night without fevers or obvious rigors.	 The patient has c. diff colitis. 	neutral
6630	At that time, he also developed a DVT and had an IVC filter placed.	 The patient had a contraindication towards anticoagulation at the time of IVC filter placement. 	entailment
6631	At that time, he also developed a DVT and had an IVC filter placed.	 The patient does not have an intravascular filter. 	contradiction
6632	At that time, he also developed a DVT and had an IVC filter placed.	 The patient had a trauma. 	neutral
6633	BNP 3698 ( up from 98 in [**May 2700**]).	 BNP is high	entailment
6634	BNP 3698 ( up from 98 in [**May 2700**]).	 BNP remained stable 	contradiction
6635	BNP 3698 ( up from 98 in [**May 2700**]).	 The patient has heart failure, orthopnea, and a history of hypertension 	neutral
6638	He was transferred to [**Hospital1 22**] for neurosurgical care.	 He has a brain disease 	neutral
6639	He was seen by his physician and then evaluated in the emergency room for CHF and treated with Lasix.	 Patient has been to the ED	entailment
6641	He was seen by his physician and then evaluated in the emergency room for CHF and treated with Lasix.	 Patient has chest pain	neutral
6642	MATERNAL PRENATAL LABS:  Blood type A positive, antibody negative, RPR nonreactive, rubella immune, hepatitis B surface antigen negative, GBS unknown.	 Patient has blood type A+	entailment
6644	MATERNAL PRENATAL LABS:  Blood type A positive, antibody negative, RPR nonreactive, rubella immune, hepatitis B surface antigen negative, GBS unknown.	 Patient has no current complaints	neutral
6645	Pt was d/cd home on [**2812-5-21**].	 The patient went home	entailment
6647	Pt was d/cd home on [**2812-5-21**].	 The patient was status post abdominal surgery	neutral
6648	She was given a total of 6 mg of Ativan with improvement of twitching.	 She was given a benzodiazepine	entailment
6649	She was given a total of 6 mg of Ativan with improvement of twitching.	 She received Ativan with no relief 	contradiction
6650	She was given a total of 6 mg of Ativan with improvement of twitching.	 She also has a history of anxiety	neutral
6651	The patient was unable to answer questions, so all history was obtained by the patient's primary care physician, [**Last Name (NamePattern4) **].	 The patient was incapacitated. 	entailment
6653	The patient was unable to answer questions, so all history was obtained by the patient's primary care physician, [**Last Name (NamePattern4) **].	 The patient was sedated. 	neutral
6657	This am patient couldn't get out of bed or move his left side so son called EMS.	" Patient has evidence of cerebral ischemia	"	entailment
6658	This am patient couldn't get out of bed or move his left side so son called EMS.	 Patient has normal neurological exam	contradiction
6660	End stage renal disease on hemodialysis, q.	 Patient has CHD stage 5	entailment
6661	End stage renal disease on hemodialysis, q.	 Patient has normal GFR	contradiction
6666	History of coronary artery disease with cardiomyopathy, ejection fraction of 25%  Has a mechanical mitral valve placement.	 the patient has heart failure	entailment
6667	History of coronary artery disease with cardiomyopathy, ejection fraction of 25%  Has a mechanical mitral valve placement.	 the patient has normal cardiac function	contradiction
6668	History of coronary artery disease with cardiomyopathy, ejection fraction of 25%  Has a mechanical mitral valve placement.	 the patient has pulmonary edema	neutral
6669	22 year old m/ w/ h/o DM1 c/b neuropathy, on home regimen of NPH 17/15 with RISS.	 The patient has poorly controlled diabetes. 	entailment
6674	In the ED, vitals 101.8, 110, 75/20, 19, 99%.	 Patient has nausea	neutral
6675	She was initially transferred to the floor, however after surgery reviewed her OSH CT scan they felt that should just remain in the ICU for aggresive fluids. .	 The patient requires a high level of care. 	entailment
6676	She was initially transferred to the floor, however after surgery reviewed her OSH CT scan they felt that should just remain in the ICU for aggresive fluids. .	 The patient is volume overloaded.	contradiction
6677	She was initially transferred to the floor, however after surgery reviewed her OSH CT scan they felt that should just remain in the ICU for aggresive fluids. .	 The patient requires fluid resuscitation. 	neutral
6678	HISTORY:  Baby Girl [**Known patient lastname 1023**] is the former 34 and [**2-20**] week infant girl, admitted to the newborn Intensive Care Unit for issues of prematurity.	 The patient was recently born. 	entailment
6679	HISTORY:  Baby Girl [**Known patient lastname 1023**] is the former 34 and [**2-20**] week infant girl, admitted to the newborn Intensive Care Unit for issues of prematurity.	 The patient was born at term. 	contradiction
6681	He denied chest pain, fevers, chills, cough, sputum production or increasing oxygen requirement.	 The patient does not have symptoms of pneumonia. 	entailment
6682	He denied chest pain, fevers, chills, cough, sputum production or increasing oxygen requirement.	 The patient has pneumonia. 	contradiction
6683	He denied chest pain, fevers, chills, cough, sputum production or increasing oxygen requirement.	 The patient does not have a pulmonary infection. 	neutral
6685	She was otherwise asymptomatic.	 She had debilitating symptoms	contradiction
6687	EMS activated, who noted crackles and LE edema on exam so was given lasix 80mg IV en route.	 the patient has signs of heart failure	entailment
6689	EMS activated, who noted crackles and LE edema on exam so was given lasix 80mg IV en route.	 the patient has shortness of breath	neutral
6690	Patient also has developed an ulcer on the right heel that has been present since [**2529-11-2**].	 The patient has a pressure ulcer. 	entailment
6691	Patient also has developed an ulcer on the right heel that has been present since [**2529-11-2**].	 The patient has no skin ulcerations. 	contradiction
6692	Patient also has developed an ulcer on the right heel that has been present since [**2529-11-2**].	 The patient is diabetic. 	neutral
6693	CAD s/p coronary stent placement 3.	 The patient has had a vascular procedure. 	entailment
6694	CAD s/p coronary stent placement 3.	 The patient has normal coronary arteries. 	contradiction
6696	Patient normally drinks 6beers/day, but will binge for Patriot's games.	 The patient is an alcoholic. 	entailment
6697	Patient normally drinks 6beers/day, but will binge for Patriot's games.	 The patient does not drink alcohol.  	contradiction
6698	Patient normally drinks 6beers/day, but will binge for Patriot's games.	 The patient has cirrhosis. 	neutral
6699	She was discharged to rehab the morning of [**2650-10-26**].	 Patient is no longer an inpatient	entailment
6700	She was discharged to rehab the morning of [**2650-10-26**].	 Patient has been sent home	contradiction
6701	She was discharged to rehab the morning of [**2650-10-26**].	 Patient has ongoing medical issues	neutral
6702	Denies chest pain or tightness.	 Patient denies chest pain.	entailment
6703	Denies chest pain or tightness.	 Patient has chest pain.	contradiction
6704	Denies chest pain or tightness.	 Patient has shortness of breath.	neutral
6705	Prior to transfer, she was given continuous nebs and Solu-Medrol 60 mg IV x 1.	 Patient has dyspnea	entailment
6707	Prior to transfer, she was given continuous nebs and Solu-Medrol 60 mg IV x 1.	 Patient has COPD	neutral
6710	Nephrolithiasis Winter eczema Depression Intermittant small bowel obstruction	 The patient has had a prior abdominal surgery. 	neutral
6711	The infant was transferred to the Newborn Intensive Care Unit.	 The infant required intensive care 	entailment
6712	The infant was transferred to the Newborn Intensive Care Unit.	 The infant was discharged home	contradiction
6713	The infant was transferred to the Newborn Intensive Care Unit.	 The infant was delivered prematurely	neutral
6714	Soon thereafter SBP dropped to the 70s and she was bolused a total 5L NS.	 The patient became hypotensive. 	entailment
6715	Soon thereafter SBP dropped to the 70s and she was bolused a total 5L NS.	 The patient’s main problem is hypertension. 	contradiction
6716	Soon thereafter SBP dropped to the 70s and she was bolused a total 5L NS.	 The patient is hypovolemic. 	neutral
6717	1) [**11/3167**] optimal debulking serous ovarian carcinoma w/removal of omental caking and drainage of ascitic fluid (2.5 L) 2) [**11/3167**] pleural effusion 3) s/p 1 cycle Taxol/Carboplatin w/mild response and 2 cycles Docagem (Docataxel, Carboplatin, Gemcitabine) w/excellent response (CA-125 nadir 7.5) 4) [**1-/3169**] Recurrence, s/p 3 cycles Taxol/Carboplatin, followed by complete remission (6 months between remission).	 patient has a history of metastatic ovarian cancer	entailment
6719	1) [**11/3167**] optimal debulking serous ovarian carcinoma w/removal of omental caking and drainage of ascitic fluid (2.5 L) 2) [**11/3167**] pleural effusion 3) s/p 1 cycle Taxol/Carboplatin w/mild response and 2 cycles Docagem (Docataxel, Carboplatin, Gemcitabine) w/excellent response (CA-125 nadir 7.5) 4) [**1-/3169**] Recurrence, s/p 3 cycles Taxol/Carboplatin, followed by complete remission (6 months between remission).	 patient is BRCA positive	neutral
6720	He was brought to the emergency room where he was noted by emergency room staff to have a 15-minute episode of moaning and garbled speech.	 Patient was confused	entailment
6721	He was brought to the emergency room where he was noted by emergency room staff to have a 15-minute episode of moaning and garbled speech.	 Patient had a normal neurological exam	contradiction
6723	In ED, she was afebrile, tachycardic in afib and hemodynamically stable but tachypneic despit e100% sat on 3L.	 the patient is tachypneic	entailment
6724	In ED, she was afebrile, tachycardic in afib and hemodynamically stable but tachypneic despit e100% sat on 3L.	 the patient is febrile	contradiction
6725	In ED, she was afebrile, tachycardic in afib and hemodynamically stable but tachypneic despit e100% sat on 3L.	 the patient is in heart failure	neutral
6726	Mother was transferred from [**Hospital6 1238**] for further treatment of HELLP syndrome.	 Pregnancy was complicated by preeclampsia	entailment
6727	Mother was transferred from [**Hospital6 1238**] for further treatment of HELLP syndrome.	 Pregnancy was uncomplicated	contradiction
6728	Mother was transferred from [**Hospital6 1238**] for further treatment of HELLP syndrome.	 Mother has a history of renal disease 	neutral
6729	Intubated for airway protection with 8.0 ETT without difficulty.	 The patient received an endotracheal tube	entailment
6732	He has noted one week prior to admission progressive increase He had a pulses paradoxus of 15 in the emergency department.	 Systolic blood pressure during expiration and inspiration is greater than 10	entailment
6733	He has noted one week prior to admission progressive increase He had a pulses paradoxus of 15 in the emergency department.	 Systolic blood pressure during expiration and inspiration is less than 10	contradiction
6734	He has noted one week prior to admission progressive increase He had a pulses paradoxus of 15 in the emergency department.	 He has COPD	neutral
6736	She does not report throat swelling or tongue swelling.	 She complains of enlarged tongue and difficulty breathing 	contradiction
6737	She does not report throat swelling or tongue swelling.	 She has no allergies to drugs 	neutral
6738	PAST MEDICAL HISTORY:  Coronary artery disease status post Mild mitral regurgitation.	 The patient has a history of cardiac disease 	entailment
6739	PAST MEDICAL HISTORY:  Coronary artery disease status post Mild mitral regurgitation.	 No history of cardiac disease 	contradiction
6740	PAST MEDICAL HISTORY:  Coronary artery disease status post Mild mitral regurgitation.	 The patient has a history of myocardial infarction	neutral
6741	Transferred to [**Hospital1 **] for cath which revealed total occlusion of the LAD.	 the patient has an LAD occlusion	entailment
6744	His lymphoma was resistant to multiple courses of chemotherapy, and he then underwent transplant in [**2638**]. .	 Patient has malignancy	entailment
6745	His lymphoma was resistant to multiple courses of chemotherapy, and he then underwent transplant in [**2638**]. .	 Patient has not had surgery	contradiction
6746	His lymphoma was resistant to multiple courses of chemotherapy, and he then underwent transplant in [**2638**]. .	 Patient has colon cancer	neutral
6747	She felt heaviness of the left arm and leg.	 The patient has a neurological condition. 	entailment
6748	She felt heaviness of the left arm and leg.	 The patient has a normal functioning left arm and leg. 	contradiction
6749	She felt heaviness of the left arm and leg.	 The patient had a recent stroke. 	neutral
6750	Once on the medicine floor, the pt's daughter reported that the pt's face appeared to be swollen, and she was transferred back to the PACU.	 The pt recently received anesthesia	entailment
6751	Once on the medicine floor, the pt's daughter reported that the pt's face appeared to be swollen, and she was transferred back to the PACU.	 The pt tolerated the procedure well and was discharged home	contradiction
6752	Once on the medicine floor, the pt's daughter reported that the pt's face appeared to be swollen, and she was transferred back to the PACU.	 The pt had abdominal surgery	neutral
6753	Aortic endocarditis: s/p porcine AVR in [**2625**] following MSSA endocarditis c/b both left and right heart failure, septic emboli to kidney and spleen.	 History of inflammation to the endocardium	entailment
6755	Aortic endocarditis: s/p porcine AVR in [**2625**] following MSSA endocarditis c/b both left and right heart failure, septic emboli to kidney and spleen.	 History of IV drug abuse	neutral
6756	This 48-year-old [**First Name3 (LF) 1214**] has mental retardation and a seizure syndrome.	 Patient has multiple chronic conditions	entailment
6757	This 48-year-old [**First Name3 (LF) 1214**] has mental retardation and a seizure syndrome.	 Patient has normal neurological exam	contradiction
6758	This 48-year-old [**First Name3 (LF) 1214**] has mental retardation and a seizure syndrome.	 Patient has abnormal IQ	neutral
6760	Twenty minutes later the patient had a grand tonic-clonic seizure in the transport vehicle and the patient's blood glucose was reported at 207 at the time.	 The patient’s blood glucose was low 	contradiction
6761	Twenty minutes later the patient had a grand tonic-clonic seizure in the transport vehicle and the patient's blood glucose was reported at 207 at the time.	 The patient has a history of epilepsy 	neutral
6764	She subsequently developed a fever of 102.3.	 The patient has an infection. 	neutral
6765	That night she noticed spots of BRB in toilet after tarry BM and blood streaking the TP.	 Patient has hematochezia	entailment
6767	That night she noticed spots of BRB in toilet after tarry BM and blood streaking the TP.	 Patient has external hemorrhoids	neutral
6769	PAST MEDICAL HISTORY:  Noncontributory.	 Past medical history is significant	contradiction
6771	HISTORY OF PRESENT ILLNESS: The patient is a 48-year-old male with severe obesity, insulin-dependent diabetes mellitus, and osteoarthritis, who presented with shortness of breath and chest pain.	 The patient has multiple medical conditions	entailment
6772	HISTORY OF PRESENT ILLNESS: The patient is a 48-year-old male with severe obesity, insulin-dependent diabetes mellitus, and osteoarthritis, who presented with shortness of breath and chest pain.	 The patient denies pain 	contradiction
6773	HISTORY OF PRESENT ILLNESS: The patient is a 48-year-old male with severe obesity, insulin-dependent diabetes mellitus, and osteoarthritis, who presented with shortness of breath and chest pain.	 The patient has coronary artery disease	neutral
6774	"1 episode of suicide attempts ""with pills"" in [**3170**]"	 Patient has a mood disorder	entailment
6776	"1 episode of suicide attempts ""with pills"" in [**3170**]"	 Patient has a psychotic disorder	neutral
6777	While at home, he took 80 mg lasix x 2 days and aldactone 200 mg x 2 days per his renal physician. .	 Patient has edema	entailment
6778	While at home, he took 80 mg lasix x 2 days and aldactone 200 mg x 2 days per his renal physician. .	 Patient has no medical conditions	contradiction
6779	While at home, he took 80 mg lasix x 2 days and aldactone 200 mg x 2 days per his renal physician. .	 Patient has CHF	neutral
6780	Pt had ECG w/ new 1-2mm ST elevation in V1-V2, and 2mm ST depression v4-v6, TWI v3-v6.	 The patient is having a STEMI. 	entailment
6781	Pt had ECG w/ new 1-2mm ST elevation in V1-V2, and 2mm ST depression v4-v6, TWI v3-v6.	 The patient is not having acute coronary syndrome. 	contradiction
6783	She was transferred to [**Hospital6 656**] for cardiac catheterization and given an ultrasound showing a 90% stenosis of the left carotid from which she was apparently asymptomatic having never described transient ischemic attacks, language difficulty or prior stroke events.	 She has extensive left carotid artery narrowing 	entailment
6784	She was transferred to [**Hospital6 656**] for cardiac catheterization and given an ultrasound showing a 90% stenosis of the left carotid from which she was apparently asymptomatic having never described transient ischemic attacks, language difficulty or prior stroke events.	 She has a history of strokes	contradiction
6787	Upon arrival to ED, patient was unresponsive with decerebrate posturing.	 the patient is alert	contradiction
6788	Upon arrival to ED, patient was unresponsive with decerebrate posturing.	 the patient had a cardiac arrest	neutral
6789	The patient has had recent admissions for chronic obstructive pulmonary disease exacerbations in [**3227-1-5**] and in [**3227-2-5**].	 The patient has chronic respiratory disease 	entailment
6790	The patient has had recent admissions for chronic obstructive pulmonary disease exacerbations in [**3227-1-5**] and in [**3227-2-5**].	 The patient has normal respiratory function	contradiction
6791	The patient has had recent admissions for chronic obstructive pulmonary disease exacerbations in [**3227-1-5**] and in [**3227-2-5**].	 The patient has a history of smoking 	neutral
6793	64M PMH mechanical MVR, recent admission for SDH s/p evacuation p/w subtherapeutic INR.	 The patient has no surgical history 	contradiction
6798	Yesterday, around noon, a thrombus was noted on angiogram.	 the patient has a thrombus	entailment
6799	Yesterday, around noon, a thrombus was noted on angiogram.	 the angiogram was negative	contradiction
6800	Yesterday, around noon, a thrombus was noted on angiogram.	 the patient has a venous thrombus	neutral
6801	50 yo M with ESRD secondary to amyloidosis on HD, h/o pulmonary aspergillosis (mycetoma), and multiple other medical problems p/w CP during hemodialysis.	 the patient has chest pain	entailment
6803	50 yo M with ESRD secondary to amyloidosis on HD, h/o pulmonary aspergillosis (mycetoma), and multiple other medical problems p/w CP during hemodialysis.	 the patient has an STEMI	neutral
6804	He had a prolonged post op course and was eventually [**Date Range 18989**] and had a gastrostomy tube.	 The patient had feeding dysfunction.	entailment
6805	He had a prolonged post op course and was eventually [**Date Range 18989**] and had a gastrostomy tube.	 The patient had normal oral intake.	contradiction
6809	The infant was born via cesarean section for a non-reassuring fetal heart tracing.	 patient is in respiratory distress	neutral
6810	As the patient usually has minimal complaints, she contact[**Name (NI) **] her physician who recommended ER evaluation.	 The patient was sent to the emergency department by her physician. 	entailment
6811	As the patient usually has minimal complaints, she contact[**Name (NI) **] her physician who recommended ER evaluation.	 The patient self referred herself to the ED. 	contradiction
6814	In [**Hospital1 18**] ED found to be in AF.	 The patient has normal rhythm.	contradiction
6816	19 year-old right-handed gentleman without significant past medical history who presented with seizure.	 Patient has an acute medical condition	entailment
6817	19 year-old right-handed gentleman without significant past medical history who presented with seizure.	 Patient has chronic medical conditions	contradiction
6818	19 year-old right-handed gentleman without significant past medical history who presented with seizure.	 Patient has epilepsy	neutral
6820	<I>History of Present Illness:</I> 49M DM2, DVT, h/o large L MCA CVA on [**8-21**], returns from rehab following witnessed ?seizure and hypoxia. <BR> Per EMS records, patient was found slumped on right side and unresponsive, with foaming at mouth.	 Patient has no chronic conditions	contradiction
6822	Multiple diverticula in the descending and sigmoid colon, some with adherent clot.	 Abnormalities in the large intestine 	entailment
